Size,Method,Time(ms)
16,Naive,0.753
16,ShMem,0.627
16,cuBLAS,665.819
32,Naive,0.890
32,ShMem,0.849
32,cuBLAS,1.613
64,Naive,0.574
64,ShMem,0.622
64,cuBLAS,1.545
128,Naive,0.567
128,ShMem,0.581
128,cuBLAS,1.416
256,Naive,0.931
256,ShMem,0.918
256,cuBLAS,1.727
512,Naive,2.770
512,ShMem,2.994
512,cuBLAS,2.525
1024,Naive,12.394
1024,ShMem,14.022
1024,cuBLAS,5.482
2048,Naive,82.398
2048,ShMem,96.513
2048,cuBLAS,16.996
